gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000171453.19_POLR1C,1247.863835,0.429121946,0.089928867,4.771793116,1.83E-06,0.000113958
ENSG00000187764.11_SEMA4D,419.1815832,-0.497140048,0.104422092,-4.760870432,1.93E-06,0.000119696
ENSG00000115368.10_WDR75,1565.433691,0.374627136,0.078765185,4.756252839,1.97E-06,0.00012185
ENSG00000055483.19_USP36,929.8491075,0.370275313,0.077974463,4.748674074,2.05E-06,0.000125247
ENSG00000110925.6_CSRNP2,293.1690116,0.61317348,0.129106672,4.749355496,2.04E-06,0.000125247
ENSG00000101096.20_NFATC2,290.7340351,0.638601638,0.134618643,4.743783051,2.10E-06,0.000127675
ENSG00000019144.19_PHLDB1,1097.637491,0.363189682,0.076612489,4.740606716,2.13E-06,0.000128422
ENSG00000132275.11_RRP8,403.562301,0.48418062,0.10212724,4.740954708,2.13E-06,0.000128422
ENSG00000184584.13_TMEM173,340.4652428,-0.557811621,0.11796101,-4.72877964,2.26E-06,0.000135469
ENSG00000168497.5_CAVIN2,568.3918517,-0.419728687,0.088870711,-4.722913594,2.32E-06,0.00013876
ENSG00000123843.13_C4BPB,659.6709008,0.46200323,0.097951239,4.716665519,2.40E-06,0.000142397
ENSG00000160271.16_RALGDS,907.5272266,-0.381313588,0.080901956,-4.713280198,2.44E-06,0.000144088
ENSG00000143319.16_ISG20L2,634.1036036,0.378879659,0.080451238,4.709432275,2.48E-06,0.000146133
ENSG00000105516.10_DBP,54.10336602,-1.338095796,0.2847035,-4.699962572,2.60E-06,0.000151837
ENSG00000178951.9_ZBTB7A,706.3621132,0.406091131,0.086408329,4.699675786,2.61E-06,0.000151837
ENSG00000276850.4_AC245041.2,526.9059131,0.517788918,0.110254487,4.696306986,2.65E-06,0.000153634
ENSG00000170522.9_ELOVL6,2358.310899,-0.315833831,0.06731606,-4.691805063,2.71E-06,0.000156317
ENSG00000107929.14_LARP4B,1539.442427,0.294205815,0.062870374,4.679561999,2.87E-06,0.000165171
ENSG00000099194.6_SCD,3025.208538,-0.359724919,0.0772126,-4.658888794,3.18E-06,0.000181806
ENSG00000110330.8_BIRC2,2519.15473,0.474783779,0.102128277,4.648896415,3.34E-06,0.000189955
ENSG00000146678.10_IGFBP1,302.9822602,-0.60365656,0.130223356,-4.635547568,3.56E-06,0.000201703
ENSG00000104881.16_PPP1R13L,919.4559798,0.487299395,0.105252786,4.629800464,3.66E-06,0.000206431
ENSG00000067182.7_TNFRSF1A,1638.813923,-0.290110267,0.062717775,-4.625646668,3.73E-06,0.00020965
ENSG00000112941.14_TENT4A,997.0839858,0.358935827,0.077696071,4.619742327,3.84E-06,0.000213814
ENSG00000125398.7_SOX9,1551.329503,-0.262769407,0.056880391,-4.619683542,3.84E-06,0.000213814
ENSG00000028277.21_POU2F2,186.0575567,0.707371548,0.153317843,4.613758809,3.95E-06,0.000219012
ENSG00000204859.13_ZBTB48,205.6500136,0.72375934,0.157166904,4.605036561,4.12E-06,0.000227371
ENSG00000064932.16_SBNO2,1599.302878,0.428148534,0.093324743,4.587727947,4.48E-06,0.000245953
ENSG00000122884.12_P4HA1,1353.755693,-0.470800022,0.102764851,-4.581333184,4.62E-06,0.000252469
ENSG00000106608.16_URGCP,710.3997302,0.347780495,0.076021035,4.574792956,4.77E-06,0.000259333
ENSG00000283154.2_IQCJ-SCHIP1,313.5089271,0.484331502,0.105968087,4.57054116,4.86E-06,0.000263485
ENSG00000175376.9_EIF1AD,1055.499374,0.340982417,0.074704563,4.564412202,5.01E-06,0.00027011
ENSG00000120256.10_LRP11,718.4371146,-0.439859528,0.096431716,-4.561357485,5.08E-06,0.000272874
ENSG00000179094.16_AC129492.1,128.4494623,-0.849999371,0.186462585,-4.558551909,5.15E-06,0.000275341
ENSG00000115641.19_FHL2,1437.063609,0.282373544,0.0620353,4.551820385,5.32E-06,0.000283071
ENSG00000169032.9_MAP2K1,1239.797569,-0.342837317,0.075489846,-4.541502427,5.59E-06,0.000296006
ENSG00000231528.2_FAM225A,281.9443117,-0.581798154,0.12873418,-4.519375938,6.20E-06,0.00032728
ENSG00000164237.9_CMBL,845.3022936,-0.388303772,0.086106371,-4.509582363,6.50E-06,0.000341293
ENSG00000174996.11_KLC2,1616.803612,0.358682019,0.079607651,4.505622438,6.62E-06,0.000346241
ENSG00000198355.5_PIM3,649.0648913,0.504847401,0.112415444,4.490907861,7.09E-06,0.000369476
ENSG00000120875.9_DUSP4,3968.011357,0.271472951,0.060465606,4.489708587,7.13E-06,0.000369995
ENSG00000272333.5_KMT2B,815.9375172,0.49358968,0.109978369,4.488061473,7.19E-06,0.0003713
ENSG00000112578.10_BYSL,1948.832911,0.248730565,0.055454386,4.485318159,7.28E-06,0.000373868
ENSG00000144283.21_PKP4,1945.878686,0.291228513,0.06493667,4.484808251,7.30E-06,0.000373868
ENSG00000100354.21_TNRC6B,238.3006899,-0.707563985,0.158198543,-4.472632745,7.73E-06,0.000394167
ENSG00000143179.16_UCK2,1583.861671,0.267213755,0.060086438,4.447155852,8.70E-06,0.000440266
ENSG00000143631.10_FLG,403.9148901,0.739793417,0.166340122,4.447474302,8.69E-06,0.000440266
ENSG00000070444.15_MNT,232.1907751,-0.661507686,0.148841012,-4.444391207,8.81E-06,0.00044276
ENSG00000181885.18_CLDN7,276.6154522,-0.52452439,0.118025016,-4.444179765,8.82E-06,0.00044276
ENSG00000164086.10_DUSP7,1054.231508,0.320968297,0.072264638,4.44156791,8.93E-06,0.000446347
ENSG00000038274.17_MAT2B,1222.218851,-0.423533582,0.095387111,-4.440155268,8.99E-06,0.000447468
ENSG00000051108.15_HERPUD1,639.0380512,-0.348763043,0.078604253,-4.436948773,9.12E-06,0.000452352
ENSG00000177427.13_MIEF2,346.2210036,-0.458734502,0.103521093,-4.431314306,9.37E-06,0.000462472
ENSG00000088876.11_ZNF343,180.6270251,0.72325919,0.163446759,4.425044548,9.64E-06,0.000474205
